PROCEDURE_CODE,CATEGORY,DESCRIPTION,AVG_COST
D0120,Diagnostic,Periodic oral evaluation,45
D0140,Diagnostic,Limited oral evaluation - problem focused,65
D0150,Diagnostic,Comprehensive oral evaluation - new or established patient,85
D0210,Diagnostic,Intraoral - complete series of radiographic images,130
D0220,Diagnostic,Intraoral - periapical first radiographic image,30
D0230,Diagnostic,Intraoral - periapical each additional image,25
D0274,Diagnostic,Bitewings - four radiographic images,65
D0330,Diagnostic,Panoramic radiographic image,110
D1110,Preventive,Prophylaxis - adult,95
D1120,Preventive,Prophylaxis - child,65
D1206,Preventive,Topical application of fluoride varnish,35
D1351,Preventive,Sealant - per tooth,45
D1510,Preventive,"Space maintainer - fixed, unilateral",280
D2140,Restorative,"Amalgam - one surface, primary or permanent",165
D2150,Restorative,"Amalgam - two surfaces, primary or permanent",200
D2160,Restorative,"Amalgam - three surfaces, primary or permanent",240
D2330,Restorative,"Resin-based composite - one surface, anterior",185
D2331,Restorative,"Resin-based composite - two surfaces, anterior",225
D2332,Restorative,"Resin-based composite - three surfaces, anterior",270
D2391,Restorative,"Resin-based composite - one surface, posterior",200
D2392,Restorative,"Resin-based composite - two surfaces, posterior",255
D2393,Restorative,"Resin-based composite - three surfaces, posterior",310
D2740,Restorative,Crown - porcelain/ceramic substrate,1100
D2750,Restorative,Crown - porcelain fused to high noble metal,1200
D2751,Restorative,Crown - porcelain fused to predominantly base metal,1050
D2790,Restorative,Crown - full cast high noble metal,1150
D2950,Restorative,Core buildup including any pins when required,280
D2954,Restorative,Prefabricated post and core in addition to crown,350
D3110,Endodontics,Pulp cap - direct,85
D3220,Endodontics,Therapeutic pulpotomy,195
D3310,Endodontics,"Endodontic therapy, anterior tooth",750
D3320,Endodontics,"Endodontic therapy, premolar tooth",875
D3330,Endodontics,"Endodontic therapy, molar tooth",1050
D3346,Endodontics,Retreatment of previous root canal therapy - anterior,900
D3348,Endodontics,Retreatment of previous root canal therapy - molar,1200
D4210,Periodontics,Gingivectomy or gingivoplasty - per quadrant,350
D4211,Periodontics,Gingivectomy or gingivoplasty - per tooth,175
D4341,Periodontics,Periodontal scaling and root planing - per quadrant,250
D4342,Periodontics,Periodontal scaling and root planing - one to three teeth,175
D4355,Periodontics,Full mouth debridement,195
D4910,Periodontics,Periodontal maintenance,155
D5110,Prosthodontics,Complete denture - maxillary,1650
D5120,Prosthodontics,Complete denture - mandibular,1650
D5130,Prosthodontics,Immediate denture - maxillary,1800
D5211,Prosthodontics,Maxillary partial denture - resin base,1400
D5213,Prosthodontics,Maxillary partial denture - cast metal framework,1750
D5410,Prosthodontics,Adjust complete denture - maxillary,75
D5510,Prosthodontics,Repair broken complete denture base,175
D5611,Prosthodontics,Repair resin partial denture base,185
D6010,Implant,Surgical placement of implant body - endosteal,2200
D6056,Implant,Prefabricated abutment,650
D6058,Implant,Abutment supported porcelain/ceramic crown,1450
D6065,Implant,Implant supported porcelain/ceramic crown,1550
D6240,Fixed Prosthodontics,Pontic - porcelain fused to high noble metal,1150
D6750,Fixed Prosthodontics,Retainer crown - porcelain fused to high noble metal,1200
D7140,Oral Surgery,"Extraction, erupted tooth or exposed root",185
D7210,Oral Surgery,"Extraction, erupted tooth requiring removal of bone",295
D7220,Oral Surgery,Removal of impacted tooth - soft tissue,350
D7230,Oral Surgery,Removal of impacted tooth - partially bony,450
D7240,Oral Surgery,Removal of impacted tooth - completely bony,550
D7250,Oral Surgery,Removal of residual tooth roots,275
D7310,Oral Surgery,Alveoloplasty in conjunction with extractions - per quadrant,225
D7471,Oral Surgery,Removal of lateral exostosis,425
D7510,Oral Surgery,Incision and drainage of abscess - intraoral soft tissue,275
D8010,Orthodontics,Limited orthodontic treatment - adult,2500
D8020,Orthodontics,Comprehensive orthodontic treatment - adolescent,5500
D8030,Orthodontics,Comprehensive orthodontic treatment - adult,6000
D8080,Orthodontics,Comprehensive orthodontic treatment - adult,6500
D8660,Orthodontics,Pre-orthodontic treatment examination,250
D8670,Orthodontics,Periodic orthodontic treatment visit,195
D8680,Orthodontics,Orthodontic retention,350
D8681,Orthodontics,Removable orthodontic retainer adjustment,85
D8999,Orthodontics,"Unspecified orthodontic procedure, by report",300
D9110,Adjunctive,Palliative treatment of dental pain,115
D9215,Adjunctive,Local anesthesia in conjunction with operative procedures,55
D9222,Adjunctive,Deep sedation/general anesthesia - first 15 minutes,275
D9230,Adjunctive,Inhalation of nitrous oxide/analgesia,55
D9310,Adjunctive,Consultation - diagnostic service by specialist,125
D9440,Adjunctive,Office visit - after regularly scheduled hours,95
D9986,Adjunctive,Missed appointment,50
D9999,Adjunctive,"Unspecified adjunctive procedure, by report",150
