report_id,vessel_id,report_date,report_type,location_description,report_text,recommended_actions,status
MSR0001,V012,2025-06-15,weather,Terminal 51 berth area,Navigation incident: Vessel Algoma Guardian experienced steering difficulty entering Western Channel in crosswind. Vessel corrected with tug assistance. No contact with channel markers. VTS Toronto monitored throughout.,Increase pollution response equipment,investigating
MSR0002,V003,2025-11-05,accident,Western Channel entrance,Pollution observation: Small oil sheen 100m x 30m near Outer Harbour Terminal during morning patrol. No vessel in immediate area. Source traced to stormwater outfall from adjacent construction site. City of Toronto notified.,Increase pollution response equipment,open
MSR0003,V010,2025-11-23,pollution,Port Lands channel,"Accident report: Bulk carrier contacted berth fender at Terminal 51 during approach in gusting winds. Two fender panels compressed beyond limits. Minor hull scrape. Estimated repair cost $180,000.",Improve coordination between commercial and recreational traffic,closed
MSR0004,V004,2025-05-13,accident,Commissioners Street Wharf,Near-miss: Outbound general cargo vessel and inbound laker had closest approach of 60m in Western Channel. Both within channel limits. Contributing factors: timing of harbour entrance and limited channel width.,Enhanced vessel traffic management during crosswinds,closed
MSR0005,V003,2025-11-24,navigation,Commissioners Street Wharf,Weather damage: Severe lake effect snow event deposited 30cm on terminal equipment. Two shore cranes had ice accumulation on cables. Port at 60% capacity for 24 hours during clearing operations.,Install additional channel markers,open
MSR0006,V013,2025-07-06,accident,Cherry Street Terminal approach,Navigation report: Increasing sedimentation noted at Outer Harbour approach. Soundings show 0.5m reduction from charted depth. Draft advisory issued for vessels drawing more than 8m. Dredging request submitted.,Increase pollution response equipment,closed
MSR0007,V006,2025-11-09,navigation,Western Channel entrance,Pollution prevention: Vessel Erie Navigator failed oily water separator test during inspection at Port Lands Terminal. Discharge at 38ppm exceeding 15ppm limit. Vessel detained under MARPOL. Repaired and released after 3 days.,Conduct fleet-wide equipment inspection,open
MSR0008,V007,2025-06-11,accident,Cherry Street Terminal approach,Near-miss: Recreational sailboat crossed commercial fairway near Eastern Gap during summer weekend. Cargo vessel took avoiding action. Min distance 60m. Toronto Police Marine Unit issued safety warning.,Enhanced vessel traffic management during crosswinds,closed
MSR0009,V017,2025-06-27,weather,Toronto Island ferry route,Accident: Mooring line failure on vessel at Commissioners Street Wharf during cargo operations. Line snapback in clear zone. Vessel shifted 1.5m. Operations suspended 3 hours. Line replacement required.,Enhanced vessel traffic management during crosswinds,closed
MSR0010,V014,2025-09-01,navigation,Western Channel entrance,Weather report: Dense fog on Lake Ontario reduced visibility to 30m in Toronto Harbour for 5 hours. Three inbound vessels anchored outside harbour. Two departures delayed. Total delay: 42 vessel-hours.,Enhanced vessel traffic management during crosswinds,investigating
MSR0011,V015,2025-10-22,near_miss,Eastern Gap,Hazard report: Submerged object detected during routine channel survey near Cherry Street Terminal. Identified as discarded construction piling from Port Lands redevelopment. Marked and removal scheduled.,Increase pollution response equipment,closed
MSR0012,V018,2025-07-28,weather,Eastern Gap,"Near-miss: Container fell from crane spreader at 3m height during lift at Port Lands Terminal. Container struck dock, no personnel in area. Spreader latch mechanism found worn. Fleet inspection ordered.",Review berthing procedures for gusty conditions,closed
MSR0013,V002,2025-05-18,accident,Toronto Island ferry route,Weather: Microburst event produced 90km/h gust at Terminal 51. All cranes auto-shutdown. One container in transit safely grounded by operator. No damage. 30-minute all-clear procedure followed.,Review berthing procedures for gusty conditions,closed
MSR0014,V019,2025-05-06,near_miss,Eastern Gap,Accident: Harbour patrol boat struck floating debris near Eastern Channel causing hull damage. Crew safe. Boat towed to marine base. Debris identified as dock section from recent storm damage.,Install additional channel markers,investigating
MSR0015,V009,2025-08-14,near_miss,Eastern Gap,"Navigation: Vessel exceeded 6-knot speed limit in inner harbour near residential waterfront. Wake caused complaints from marina operators at Harbourfront. Port Authority issued violation notice and $25,000 fine.",Increase pollution response equipment,closed
MSR0016,V006,2025-08-08,navigation,Western Channel entrance,"Pollution: Garbage discharge observed from vessel at anchorage during early morning. Plastics and food waste documented. MARPOL Annex V violation. Administrative penalty of $12,000 issued.",Implement enhanced weather monitoring,closed
MSR0017,V004,2025-04-25,navigation,Port Lands channel,Near-miss: Rail car coupling failure on port spur track near Port Lands Terminal. Two cars separated during switching. No derailment. Track blocked 4 hours. Metrolinx rail safety inspection triggered.,Implement enhanced weather monitoring,closed
MSR0018,V018,2025-09-13,accident,Toronto Inner Harbour,Weather impact: Spring ice breakup on Lake Ontario created unusual conditions near harbour entrance. Large ice floes blocked Western Channel for 6 hours. Four vessels delayed. Ice-breaking requested from Canadian Coast Guard.,Implement enhanced weather monitoring,closed
MSR0019,V009,2025-06-11,pollution,Terminal 51 berth area,Accident: Container truck rollover on Cherry Street ramp in wet conditions. Driver minor injuries. Container secure on chassis. Ramp closed 3 hours. Drainage assessment of ramp surface initiated.,Increase pollution response equipment,closed
MSR0020,V013,2025-05-23,weather,Toronto Island ferry route,Navigation report: Vessel navigating at night reported partial failure of port-side navigation lights near Toronto Island. Temporary fix applied. Full repair at next port of call. VTS provided enhanced monitoring.,Conduct fleet-wide equipment inspection,closed
